"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 09 19:39:50 GMT 2023","Mon Jan 09 19:39:50 GMT 2023","0","Surefire suite","Surefire test","my.company.SimpleTest","my.company.SimpleTest","simpleTestTwo","simpleTestTwo",""
"passed","Mon Jan 09 19:39:50 GMT 2023","Mon Jan 09 19:39:50 GMT 2023","22","Surefire suite","Surefire test","my.company.SimpleTest","my.company.SimpleTest","simpleTestOne","simpleTestOne",""
